Aasta,Sugu,Maakond,Rahvused kokku,Eestlased,Muud rahvused,Venelased,Ukrainlased,Valgevenelased,Soomlased,Tatarlased,Lätlased,Poolakad,Juudid,Leedulased,Sakslased,Armeenlased,Aserbaidžaanid,Rahvus teadmata
2022,Mehed ja naised,Maakond teadmata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Mehed,Kogu Eesti,633415,437652,190753,142324,14478,4981,4401,880,2066,827,985,1039,1504,922,971,5010
2022,Mehed,Harju maakond,292048,174912,113382,80489,10125,3353,2400,611,959,532,820,692,845,662,726,3754
2022,Mehed,Hiiu maakond,4162,4065,89,23,11,5,13,0,3,0,1,0,3,1,0,8
2022,Mehed,Ida-Viru maakond,61056,12123,48780,43856,1407,1055,481,186,155,139,74,139,184,105,78,153
2022,Mehed,Jõgeva maakond,13369,12155,1153,870,84,21,64,3,18,1,1,9,17,8,0,61
2022,Mehed,Järva maakond,14287,13405,798,310,232,26,97,1,19,9,2,4,18,8,2,84
2022,Mehed,Lääne maakond,9566,8489,1032,703,82,25,49,6,15,4,2,17,23,1,0,45
2022,Mehed,Lääne-Viru maakond,28221,24619,3463,2422,404,87,184,7,49,21,7,34,29,11,22,139
2022,Mehed,Põlva maakond,11705,11130,544,363,69,3,34,0,16,1,1,1,16,1,3,31
2022,Mehed,Pärnu maakond,40436,36020,4266,2523,626,113,322,20,128,23,8,43,61,25,9,150
2022,Mehed,Rapla maakond,16392,15386,944,506,131,44,73,4,29,8,1,7,23,6,6,62
2022,Mehed,Saare maakond,15001,14613,359,86,54,3,88,1,4,6,0,5,20,0,1,29
2022,Mehed,Tartu maakond,75476,63709,11497,7586,777,138,417,32,173,64,55,64,195,76,117,270
2022,Mehed,Valga maakond,13359,10642,2624,1586,225,72,38,7,424,8,8,14,28,9,4,93
2022,Mehed,Viljandi maakond,21784,20709,1016,474,173,24,111,2,30,5,2,8,25,6,2,59
2022,Mehed,Võru maakond,16553,15675,806,527,78,12,30,0,44,6,3,2,17,3,1,72
2022,Mehed,Maakond teadmata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
